"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","11","Stocks","2007","Head","5387000.00000",""
"Africa +","11","Stocks","2007","Head","284655115.00000","A "
"Albania","11","Stocks","2007","Head","876000.00000",""
"Algeria","11","Stocks","2007","Head","3774440.00000",""
"Americas +","11","Stocks","2007","Head","37120657.00000","A "
"Angola","11","Stocks","2007","Head","2060000.00000","F "
"Antigua and Barbuda","11","Stocks","2007","Head","36000.00000","F "
"Argentina","11","Stocks","2007","Head","4250000.00000","F "
"Armenia","11","Stocks","2007","Head","42922.00000",""
"Aruba","11","Stocks","2007","Head","0.00000","NR"
"Asia +","11","Stocks","2007","Head","489723912.00000","A "
"Australia","11","Stocks","2007","Head","518024.00000",""
"Australia and New Zealand +","11","Stocks","2007","Head","630005.00000","A "
"Austria","11","Stocks","2007","Head","53108.00000",""
"Azerbaijan","11","Stocks","2007","Head","577809.00000",""
"Bahamas","11","Stocks","2007","Head","14500.00000","F "
"Bahrain","11","Stocks","2007","Head","23000.00000",""
"Bangladesh","11","Stocks","2007","Head","52500000.00000","F "
"Barbados","11","Stocks","2007","Head","5200.00000","F "
"Belarus","11","Stocks","2007","Head","69600.00000",""
"Belgium","11","Stocks","2007","Head","26500.00000","F "
"Belize","11","Stocks","2007","Head","170.00000","F "
"Benin","11","Stocks","2007","Head","1440400.00000",""
"Bermuda","11","Stocks","2007","Head","300.00000","F "
"Bhutan","11","Stocks","2007","Head","30000.00000","F "
"Bolivia","11","Stocks","2007","Head","1772159.00000",""
"Bosnia and Herzegovina","11","Stocks","2007","Head","70255.00000",""
"Botswana","11","Stocks","2007","Head","1960000.00000","F "
"Brazil","11","Stocks","2007","Head","9450312.00000",""
"British Virgin Islands","11","Stocks","2007","Head","10000.00000","F "
"Brunei Darussalam","11","Stocks","2007","Head","2720.00000","F "
"Bulgaria","11","Stocks","2007","Head","549076.00000",""
"Burkina Faso","11","Stocks","2007","Head","11427500.00000","F "
"Burundi","11","Stocks","2007","Head","1606717.00000",""
"Cameroon","11","Stocks","2007","Head","4400000.00000","F "
